Ticker,Sector,Valid_Analysis_Rows,Target_Before_Stop_5d_Rate,Target_Hit_5d_Rate,Median_Max_Forward_Return_5d,Median_Min_Forward_Drawdown_5d,Mean_ret_5d,Mean_ret_20d,Mean_rsi_14,Mean_macd_hist,Mean_bb_width_20,Mean_realized_vol_20,Mean_atr14_norm,Mean_open_above_prior_20d_high
CBOE,Financial,269,0.5055762081784386,0.6728624535315985,0.02264700584969348,-0.019713935610991107,0.006581072305911165,0.02426460502331429,55.47736380292387,-0.021107475536340285,0.08903262628737936,0.013785384026484888,0.022350541830937796,0.12639405204460966
DGX,Healthcare,269,0.5055762081784386,0.6356877323420075,0.022579735466078388,-0.017916101831714215,0.003241851937681964,0.011453961830157592,52.35501826699383,-0.05127232020829511,0.08985922973380206,0.014264699874540428,0.020991932542754083,0.06319702602230483
MCK,Healthcare,269,0.5055762081784386,0.6505576208178439,0.02184597281522538,-0.01887817536745151,0.0059522469628524016,0.027841528018666427,55.360877301747756,-0.40567011020090316,0.09855887525267175,0.016115193540366758,0.023176487394718913,0.08921933085501858
NOC,Industrial,269,0.5018587360594795,0.6654275092936803,0.023013975531495312,-0.018503745367779323,0.007085339122073063,0.033460272164963,56.04683155382247,-0.12455346731264982,0.11251492984455137,0.01683406911069215,0.022862597754949112,0.11524163568773234
EWBC,Financial,269,0.5018587360594795,0.7211895910780669,0.028358574392349345,-0.021814017022652177,0.006394207669902415,0.015930892365570826,53.22880844391424,0.03419007536464295,0.1391135755270686,0.019845835945976192,0.028917718410647553,0.08550185873605948
WAB,Industrial,269,0.5018587360594795,0.6691449814126395,0.02594991892933618,-0.017125570119620126,0.008127001746963597,0.025601882394100186,55.41970074559238,0.10876862783123147,0.11183018872068604,0.015375741003868107,0.02308186799034201,0.09665427509293681
CMI,Industrial,269,0.49814126394052044,0.7323420074349443,0.032282807884155496,-0.020019760323516045,0.011818864191685664,0.03755198531803433,57.52415249632934,0.07006036073743732,0.13445685485084172,0.019897095641883227,0.027135857460556002,0.17100371747211895
YELP,Technology,269,0.49070631970260226,0.6951672862453532,0.025658799140185096,-0.026128259755812677,-0.004591480065941025,-0.020748883019557518,45.91127142851496,0.021872209936239343,0.14995941852770311,0.02211278868780643,0.029300703496980333,0.048327137546468404
WAL,Financial,269,0.49070631970260226,0.7657992565055762,0.0356420575951768,-0.02817258357553165,0.0015073619976721637,-0.005053890807039296,50.66317334673423,0.0008755302434082001,0.17585354100529843,0.026020830981687268,0.035982819224827226,0.07063197026022305
MSI,Technology,269,0.49070631970260226,0.6022304832713755,0.019118147785522677,-0.015742499333380122,0.001723984263207693,0.006808841124890401,51.25627153362859,0.12084313189448187,0.10041971694322513,0.013431552284677779,0.019677606724665543,0.10037174721189591
NTES,Technology,269,0.49070631970260226,0.6802973977695167,0.02386560669709681,-0.024397580953471998,0.0025429230487143376,0.011736582102223392,50.99649354880041,-0.039688609691733816,0.12501320059073204,0.02005958862424524,0.02486056710554262,0.10408921933085502
REGN,Healthcare,269,0.48698884758364314,0.7472118959107806,0.032005720857393394,-0.028733806136188145,0.003001058255461671,0.010007737635964766,51.817330110611415,-0.04472657481393979,0.14581175483420575,0.024045075266944115,0.0321096067384746,0.055762081784386616
SF,Financial,269,0.483271375464684,0.6840148698884758,0.028786186306133388,-0.023425805867081984,0.004412762310319351,0.008641064391964822,52.87755931491388,0.02382109013786659,0.12419081146197487,0.019383900258246607,0.02901099039613833,0.10037174721189591
JBHT,Industrial,269,0.483271375464684,0.7472118959107806,0.03304759591937967,-0.022359929713484217,0.008213926949937604,0.024870711704464747,53.95884210622508,0.05032799858113476,0.1516326132933653,0.023120075038600328,0.03061063065512124,0.07806691449814127
HIW,Real Estate,269,0.483271375464684,0.6802973977695167,0.02185403290603216,-0.023076933035234615,-0.004192427103696971,-0.01942377424659072,46.311285399961484,-0.003621922058215873,0.11181247870575758,0.01654879422559263,0.02562697293235353,0.04460966542750929
NSA,Financial,269,0.4758364312267658,0.6691449814126395,0.023639378370037933,-0.023983367283740842,0.0025058708398464,0.0031267694626493725,49.196212905016296,0.015488282136200685,0.13386943968011752,0.020699597659696846,0.027394893156846067,0.06319702602230483
REG,Real Estate,269,0.4721189591078067,0.6059479553903345,0.018792799568065233,-0.015386736225840414,0.0016432943151794652,0.00271640364835589,50.82686741529004,-0.004266547039323007,0.06840107051641033,0.011236132999108209,0.018586698168646873,0.03345724907063197
DOV,Industrial,269,0.4721189591078067,0.6468401486988847,0.022572349272889758,-0.020381036699390287,0.0038479682307501943,0.009591029220504461,52.44755352840004,0.024439893985977595,0.11417580407855091,0.016320964888798466,0.02305791649595635,0.09665427509293681
BWXT,Industrial,269,0.4684014869888476,0.8178438661710037,0.04285714285714293,-0.029598288434783626,0.01715263894517219,0.061077616551751104,58.07886008034431,0.10349812011049093,0.17534931321291747,0.0266197246531886,0.03681920117449163,0.1449814126394052
PWR,Industrial,269,0.4646840148698885,0.8215613382899628,0.037473658511513186,-0.027539238255685494,0.01644244511105175,0.06269818702345527,58.53778379630053,0.3159842828625498,0.14008851121344248,0.021907040281663227,0.033778986980366875,0.13382899628252787
FAF,Financial,269,0.4646840148698885,0.6765799256505576,0.022875785759738365,-0.024958985307686588,0.0007674881269368043,-0.001024375566417649,50.400959266895775,-0.022125746722869023,0.12258478091859266,0.017854311679572746,0.02618636960085112,0.048327137546468404
ALNY,Healthcare,269,0.4646840148698885,0.7955390334572491,0.036188598127378846,-0.027303116579120545,0.007439429458115188,0.027490898634012193,52.9332829348224,0.03427079700618833,0.17175194484595432,0.025100575067084765,0.03719023908618475,0.08921933085501858
AGCO,Industrial,269,0.4646840148698885,0.7434944237918215,0.03237000450295158,-0.028046348655828446,0.00517771941764317,0.01865426166546126,52.53242860947489,-0.023340763651859116,0.14652511047572075,0.0227314446755337,0.03294413505182025,0.06319702602230483
WERN,Industrial,269,0.46096654275092935,0.7657992565055762,0.036337208697897694,-0.0291363217069307,0.0022448313675842613,-0.0024865852952826156,49.90775251152518,0.00920975476713545,0.16427790738808565,0.025149709527258438,0.03685261880514532,0.06319702602230483
LPLA,Financial,269,0.46096654275092935,0.7397769516728625,0.029987495604379744,-0.030956110686363836,0.000759428409271364,-0.007466383337495623,49.737410027594315,0.01676829266661674,0.15089851620352382,0.023904214821459054,0.03552632022950128,0.048327137546468404
EXR,Real Estate,269,0.45724907063197023,0.6431226765799256,0.021531971899251934,-0.01783671478723059,-0.0009421848113940872,-0.008047299542635328,48.931691465378115,-0.03563730409633918,0.11291945752495677,0.016191571111239478,0.02268388629410958,0.05204460966542751
TXRH,Consumer,269,0.45724907063197023,0.6431226765799256,0.023107596772899308,-0.02444612307335614,-0.0005150511200489781,-0.0018493257049199926,48.752809898270726,-0.05340756570757403,0.11221550398039772,0.017442693433918317,0.025548764965977345,0.048327137546468404
LAZ,Financial,269,0.45353159851301117,0.7769516728624535,0.042601707602957006,-0.03365390990938122,0.001192295770760631,-0.004436119358420907,49.86257701560438,-0.0013270958753113032,0.17903472149837044,0.02559984737265203,0.04007543064632433,0.08921933085501858
GGG,Industrial,269,0.4423791821561338,0.5687732342007435,0.018179655437206677,-0.017268126194563083,0.0008578843376538551,0.0010019966224549927,50.48864727335656,-0.01827189599030895,0.07680361985706444,0.012974489848659822,0.01995131221929145,0.05947955390334572
AVB,Real Estate,269,0.4349442379182156,0.5241635687732342,0.015337731328649129,-0.016518556944242313,-0.003856485600933109,-0.019729470659170766,45.40026824711422,-0.028609377177287076,0.0790083498142427,0.013556804404347868,0.020425650016505478,0.011152416356877323
SBAC,Technology,269,0.4349442379182156,0.5799256505576208,0.01824639710946463,-0.023259029947790166,0.0008917397496504217,-0.009399286564675494,47.58550249909237,-0.0436840570940738,0.10203338973596184,0.01609666195506848,0.024387614859884773,0.05204460966542751
PNW,Industrial,269,0.4349442379182156,0.5353159851301115,0.016214462926842144,-0.01627283843745375,0.0024026142666567986,0.008002601661802623,51.87905810485747,-0.005384368187948962,0.06685265362395462,0.010438904143757505,0.017032893536462625,0.09665427509293681
CALM,Consumer,269,0.4275092936802974,0.7063197026022305,0.03016163791793436,-0.030760157125059306,-0.0009019746608254476,-0.0041642702182979,47.99065645413484,0.05000582994879814,0.1312671121422321,0.021341037198889946,0.032642540708669905,0.040892193308550186
SMG,Consumer,269,0.4200743494423792,0.7397769516728625,0.03299265084247893,-0.03234374523162842,0.0016968385322166527,0.006116563475204193,50.33968974606559,0.01508044486024508,0.14614927178538922,0.022872838906421524,0.034234795074358955,0.055762081784386616
ITW,Industrial,269,0.4200743494423792,0.5018587360594795,0.015129781666491926,-0.017002489198832405,0.0011902722284519692,0.0025077441079483843,50.72914215698612,-0.07273274682109745,0.08846436250855466,0.013881287832803436,0.019628444890029333,0.06319702602230483
BR,Financial,269,0.4200743494423792,0.5464684014869888,0.01747924435071546,-0.021513037908489352,-0.006150549319234666,-0.023815375137428832,45.067062688192884,-0.09065819210876816,0.10358585122823631,0.014700839117257204,0.022317287352627235,0.022304832713754646
TRIN,Financial,269,0.4200743494423792,0.550185873605948,0.018091016578702268,-0.019580400645910934,-0.00038882145956798173,-0.0047592388667789,50.74604918987241,-0.003793584616610342,0.09113717507445886,0.013758018295223877,0.02081089169815392,0.08178438661710037
SLG,Real Estate,269,0.4163568773234201,0.7063197026022305,0.02947809911752719,-0.037935053771269156,-0.006415911180530725,-0.03180276839642316,45.36649139755422,0.01182126268199769,0.16958464559961894,0.023762013212212173,0.03723474333958753,0.048327137546468404
FVRR,Consumer,269,0.40892193308550184,0.7434944237918215,0.03172588786411934,-0.03993205172042191,-0.014898066442562705,-0.059506557084601744,41.870683665830875,0.012344769586909237,0.2112291079054064,0.028114600572528337,0.04376888517812149,0.03717472118959108
MAA,Real Estate,269,0.4052044609665427,0.5018587360594795,0.015010863124629736,-0.019477245887468575,-0.004630659289545809,-0.01973572196539555,45.223245063310955,-0.07467224444930398,0.07772562165657661,0.012531226466816262,0.019499302761164874,0.022304832713754646
RPM,Industrial,269,0.40148698884758366,0.6022304832713755,0.020313169065471204,-0.022796067683519272,-0.0014323457991037084,-0.011824592532213934,47.271500498665986,-0.015382083085059093,0.1149585625374036,0.01675528916729581,0.02393579034430603,0.05204460966542751
PAYC,Technology,269,0.40148698884758366,0.6505576208178439,0.022314898154982332,-0.03678522011403251,-0.00917353715110661,-0.036421306510263284,43.85479753772302,-0.05463792261208623,0.15440347489421427,0.023025226563569277,0.03272969516293825,0.040892193308550186
IT,Technology,269,0.39776951672862454,0.6319702602230484,0.02140382311996092,-0.03435683014590751,-0.018053350425156073,-0.07096665267961982,40.0077114968621,0.09427549021195787,0.20607311085204116,0.027881001929658752,0.03587598146237064,0.048327137546468404
ROP,Technology,269,0.3903345724907063,0.483271375464684,0.01424923108804066,-0.0207260408798553,-0.008206412284954362,-0.034084425087932274,42.572058155361404,-0.11138784931830487,0.09609899016390835,0.014266451798445736,0.021494318237107655,0.007434944237918215
