,ret_5d,ret_20d,close_above_sma_20,close_above_sma_50,dist_prev_close_sma_20,dist_open_sma_20,dist_open_ema_20,sma_20_slope_5d,rsi_14,macd_hist,bb_width_20,bb_position_20,volume_change_5d,relative_volume_20,dollar_volume_log,realized_vol_20,atr14_norm,gap_open_prev_close,gap_up,gap_down,prev_close_above_prior_20d_high,open_above_prior_20d_high,dist_open_prior_20d_high,prev_close_below_prior_20d_low,dist_open_prior_20d_low
relative_volume_20,-0.14685963553618261,-0.06545905957976544,-0.09567119576754696,-0.0377877510361448,-0.12471179033242717,-0.12046703634019092,-0.11796544191611888,-0.036396955752393066,-0.10620828847862887,-0.07708338329901519,-0.0006413700900221506,-0.11985199941969145,0.79065484436897,1.0,0.30071492447535186,-0.0006596435698221086,0.036757107351372664,-0.0012867254578486638,0.028251290173242537,-0.022208378351127562,0.10413673582047438,0.09951685689261203,-0.07219982189248912,0.22638445438403992,-0.11630890108724029
dollar_volume_log,0.004652485237660562,0.06666695807906751,0.01971972464544524,0.06741899110074921,0.038803207475884484,0.03783076961494747,0.04988188867874783,0.07389457227063569,0.060977540899229056,-0.016646703329155303,0.013803034566874397,0.030010028171004496,0.24043068742334558,0.30071492447535186,1.0,0.018821690035591365,-0.0033359487358967112,0.0006275101158167382,0.012078393231275323,0.002902141532363661,0.07278195839895406,0.06894503402088295,0.04277286294645768,0.03168054060512513,0.03196864517954096
realized_vol_20,0.007265527577253611,-0.1657245949664767,-0.053722433545037855,-0.16422641615452413,-0.10845944551490103,-0.1123321319927946,-0.14829506530215317,-0.2295980529982026,-0.12793197204102472,0.0199557968827229,0.717207937943647,-0.05373372117900596,0.023835479331993478,-0.0006596435698221086,0.018821690035591365,1.0,0.8272696165295568,-0.030715036998435415,-0.040811622840770834,0.05030199837452922,-0.02723851378356351,-0.034846016357868916,-0.47100676174393474,-0.004127141983811984,0.3827873883480774
atr14_norm,-0.12813816354844032,-0.31503311958638086,-0.19357655511856472,-0.25735908343389036,-0.3035017436601503,-0.29848611799649744,-0.3160953551126496,-0.340080303312211,-0.27297184324620877,-0.0859560889845615,0.6733501763439779,-0.20218210422166613,0.00311185776499303,0.036757107351372664,-0.0033359487358967112,0.8272696165295568,1.0,-0.019742747604457024,-0.0344230568226595,0.04290421090191957,-0.07854561413821817,-0.08272475255396594,-0.5893892293961726,0.04883422885705891,0.21114081035001211
gap_open_prev_close,0.013367516114817178,0.019501753588838894,-0.007695698340366275,0.023224552610941026,0.008129721152293556,0.24919233401810434,0.2925558334583283,0.03344419444239295,0.008139010948190771,-0.012376566964261024,-0.017800564732030837,0.0025554802219116424,-0.034714770917154684,-0.0012867254578486638,0.0006275101158167382,-0.030715036998435415,-0.019742747604457024,1.0,0.5640097251614797,-0.5650459454631682,0.0023550246955265914,0.16893139420974,0.21989639014202553,-0.03585621997754468,0.19126325777836692
gap_up,-0.02443110509127065,0.001785746172674122,-0.028123604476275217,0.026024365830235225,-0.02144817872351809,0.11716944392514374,0.14619213791049923,0.02007200871301825,-0.009284494290276285,-0.03110493610081572,-0.026901377766033182,-0.02639924130638676,-0.008747659008273408,0.028251290173242537,0.012078393231275323,-0.040811622840770834,-0.0344230568226595,0.5640097251614797,1.0,-0.9466719450630493,-0.01310056483012166,0.11237474533856799,0.11722851632669623,0.01097101484130475,0.07284676745952975
gap_down,0.02534349263193991,-0.0043078580556867975,0.026495588682733492,-0.02939788576670818,0.02012391519181169,-0.11870185857048514,-0.14840008787411324,-0.023824103940806595,0.007359451831821929,0.03326405058909855,0.035359481621977135,0.02485998478871768,0.015070660300106993,-0.022208378351127562,0.002902141532363661,0.05030199837452922,0.04290421090191957,-0.5650459454631682,-0.9466719450630493,1.0,0.009536434331776804,-0.11418244947362752,-0.12332629264197614,-0.009422927486001459,-0.0691875272256247
prev_close_above_prior_20d_high,0.3500968830318079,0.313287200962669,0.2570595879144123,0.2446861570464002,0.39132851880758607,0.3798794082632493,0.38340881430455076,0.22536049051685295,0.3978492262794757,0.21569853028719896,0.04005224012447502,0.42842697888394893,0.09493414496413624,0.10413673582047438,0.07278195839895406,-0.02723851378356351,-0.07854561413821817,0.0023550246955265914,-0.01310056483012166,0.009536434331776804,1.0,0.7568557012826054,0.34536322858533547,-0.062072450681963924,0.3154146161523617
open_above_prior_20d_high,0.33394658420288664,0.3098232870869151,0.2699781723957127,0.24961587916024572,0.38028940992589494,0.41191600105887327,0.42072038521555916,0.23027084619758145,0.3923725841792077,0.20458480560449396,0.02260928872821778,0.42775198892878186,0.08868410031483549,0.09951685689261203,0.06894503402088295,-0.034846016357868916,-0.08272475255396594,0.16893139420974,0.11237474533856799,-0.11418244947362752,0.7568557012826054,1.0,0.37970861724382576,-0.06597579133918743,0.3368118156249561
dist_open_prior_20d_high,0.5617382206413858,0.7769729112246903,0.6300774126944677,0.5795957994220963,0.8161007303191017,0.8436392858852687,0.8564595130579141,0.7093655567182751,0.777834815253041,0.3813035461717257,-0.5036392148351906,0.7167988720026299,-0.04123271364596814,-0.07219982189248912,0.04277286294645768,-0.47100676174393474,-0.5893892293961726,0.21989639014202553,0.11722851632669623,-0.12332629264197614,0.34536322858533547,0.37970861724382576,1.0,-0.2912407352673107,0.432989728440108
prev_close_below_prior_20d_low,-0.34946627719153844,-0.26398325942434,-0.24147105807479613,-0.22190580700326074,-0.35203635494113533,-0.348668364205766,-0.35972440897071534,-0.16673033668077764,-0.3571064229588006,-0.15787058506783214,0.014236687293117818,-0.41257412097217605,0.18541487618172955,0.22638445438403992,0.03168054060512513,-0.004127141983811984,0.04883422885705891,-0.03585621997754468,0.01097101484130475,-0.009422927486001459,-0.062072450681963924,-0.06597579133918743,-0.2912407352673107,1.0,-0.3227167606135825
dist_open_prior_20d_low,0.5674431525577583,0.6869635046920336,0.5793372936509746,0.4368721363201024,0.7370069709654093,0.7599158395929436,0.7356103766208916,0.5467429727229481,0.6857423764236499,0.4371423687687172,0.4667456549516297,0.6683753369178975,-0.08223991695804318,-0.11630890108724029,0.03196864517954096,0.3827873883480774,0.21114081035001211,0.19126325777836692,0.07284676745952975,-0.0691875272256247,0.3154146161523617,0.3368118156249561,0.432989728440108,-0.3227167606135825,1.0
